"2482 連宇             年度 成交資訊"
"年度","成交股數","成交金額","成交筆數","最高價","日期","最低價","日期","收盤平均價",
"90","72,110,451","1,860,089,660","27,575","44.00","12/31","11.90","9/19","23.71",
"91","131,376,003","4,186,929,584","59,191","45.90","4/02","17.50","10/08","28.11",
"92","167,584,578","4,271,126,013","67,936","32.30","7/10","17.80","3/11","22.76",
"93","165,462,554","4,162,296,731","57,174","32.00","3/01","18.30","8/18","22.20",
"94","79,869,788","1,673,247,864","27,652","24.50","3/11","15.60","10/26","20.09",
"95","66,113,621","1,329,047,821","22,249","28.85","12/26","14.15","8/24","16.71",
"96","207,432,698","10,583,741,374","87,348","82.40","7/26","23.30","1/05","52.74",
"97","47,765,483","1,299,607,635","21,945","39.40","2/29","10.10","10/28","23.72",
"98","195,736,999","4,753,848,773","74,612","34.25","10/06","11.60","3/03","19.88",
"99","103,225,943","2,361,585,132","44,823","29.50","1/04","15.50","11/09","21.29",
"100","66,613,243","850,368,320","24,581","18.60","1/03","9.64","12/19","13.60",
"101","39,723,914","444,643,654","13,856","13.35","3/01","9.61","6/04","10.65",
"102","92,298,667","1,260,377,276","31,186","17.85","12/04","10.25","1/11","12.81",
"103","317,063,155","6,466,525,840","138,414","25.00","10/27","12.40","4/28","16.44",
"104","164,751,809","2,767,108,048","69,290","21.55","3/19","10.10","8/27","16.02",
"105","90,725,750","1,307,688,439","35,701","17.90","3/23","10.85","1/18","13.36",
"106","50,514,833","682,345,662","16,918","15.70","4/06","12.00","12/19","13.16",
"107","30,935,611","389,527,996","11,495","13.85","4/02","10.95","12/27","12.26",
"108","65,406,594","897,300,149","27,053","16.55","9/18","10.40","7/29","11.60",
"109","72,230,142","838,006,558","35,860","13.80","2/17","9.05","3/23","10.90",
"110","301,076,076","4,613,850,259","104,925","19.45","12/14","9.90","5/17","12.57",
"111","1,581,140,578","41,047,492,655","717,713","32.50","7/06","11.25","5/09","20.85",
""
"近年最高價","日期","近年最低價","日期",
"82.40","96/7/26","9.05","109/3/23",
"備註:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。",
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。",

