"112年2482 連宇             月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"112","1","33.15","23.85","29.03","44,964","2,722,633,511","93,777,906","120.96",
"112","2","51.00","32.50","40.42","120,708","8,055,170,546","199,256,523","257.01",
"112","3","65.50","46.55","56.23","263,744","26,041,261,311","463,115,435","597.36",
"112","4","76.00","61.20","67.46","93,600","9,341,295,482","138,453,237","178.06",
"112","5","73.20","61.20","66.63","108,179","10,865,063,657","163,047,849","209.43",
"112","6","79.80","63.00","72.03","162,597","17,880,979,525","248,230,867","318.85",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

