"112年06月 2482 連宇             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/06/01","10,696,408","703,498,659","63.10","67.50","63.00","66.50","+3.40","6,885",
"112/06/02","9,065,310","604,777,738","67.20","68.00","65.30","65.70","-0.80","6,599",
"112/06/05","9,287,828","627,604,557","66.50","68.50","65.50","68.20","+2.50","6,297",
"112/06/06","5,556,168","374,895,518","68.80","69.40","66.50","67.20","-1.00","4,285",
"112/06/07","5,128,957","344,229,577","67.60","68.40","65.60","67.50","+0.30","3,594",
"112/06/08","22,350,708","1,613,951,775","68.40","74.20","68.30","74.20","+6.70","12,487",
"112/06/09","38,884,132","2,801,578,522","75.40","76.50","67.20","67.50","-6.70","23,590",
"112/06/12","11,335,675","781,744,552","69.80","71.10","67.50","68.20","+0.70","7,555",
"112/06/13","15,643,901","1,102,573,156","68.00","72.50","67.10","71.00","+2.80","10,542",
"112/06/14","29,770,356","2,229,825,211","71.80","78.00","71.30","73.80","+2.80","18,674",
"112/06/15","23,373,305","1,773,749,360","75.30","77.80","74.30","75.30","+1.50","15,263",
"112/06/16","11,462,786","850,552,365","75.70","76.20","72.50","74.50","-0.80","7,899",
"112/06/19","10,705,423","806,178,942","75.20","76.80","73.90","76.20","+1.70","7,184",
"112/06/20","19,215,866","1,459,583,995","77.60","79.80","73.30","73.30","-2.90","12,300",
"112/06/21","4,960,539","363,123,499","72.90","74.30","72.50","73.10","-0.20","3,797",
"112/06/26","5,964,007","419,748,405","72.50","72.60","69.40","69.70","-3.40","4,726",
"112/06/27","3,899,720","268,682,897","69.60","70.40","67.60","68.00","-1.70","2,904",
"112/06/28","2,772,444","190,994,193","69.10","69.90","68.00","68.20","+0.20","2,000",
"112/06/29","2,676,086","185,178,954","68.80","70.70","68.10","70.70","+2.50","1,863",
"112/06/30","5,481,248","378,507,650","71.00","71.00","68.10","69.40","-1.30","4,153",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

